file	runs obj_mean  obj_sd    t_mean
100_10_2   10 18358.73 1952.31 600.59853
100_2_2    10    22.15    0.82 600.48622
100_20_2   10 56370.50 3563.14 600.66650
100_5_2    10  2447.28    0.98 600.44303
50_10_2    10 16851.23  792.90 600.40212
50_2_2     10     3.45    1.21 600.51798
50_20_2    10 57429.01  104.57 600.45880
50_5_2     10  1179.39  809.35 600.53707
500_10_2   10 14063.50  396.87 600.79248
500_2_2    10     6.86    4.70 600.49848
500_20_2   10 51131.00    0.00 600.69647
500_5_2    10   560.89  881.35 600.54798
