file runs  obj_mean  obj_sd    t_mean
100_10_2   10 19599.97  825.61 600.54232
100_2_2    10    24.00    1.51 600.55093
100_20_2   10 55217.38 2503.54 600.65993
100_5_2    10  3501.39  375.15 600.49652
50_10_2   10 18196.61 1868.28 600.37043
50_2_2    10     2.51    0.81 600.37298
50_20_2   10 56692.47  369.58 600.45440
50_5_2    10  2456.40  615.66 600.68961
500_10_2   10 18816.20   85.56 600.69839
500_2_2    10     4.76    0.13 600.42825
500_20_2   10 53518.80 1181.88 601.07751
500_5_2    10  2298.82  805.04 600.66110
