file runs  obj_mean  obj_sd    t_mean
50_10_2   10 24296.65  600.37 600.36582
50_2_2    10    17.28    7.37 600.51515
50_20_2   10 61815.75 1407.96 600.45419
50_5_2    10  3781.12    1.93 600.61297
100_10_2   10 20993.65  740.33 600.54149
100_2_2    10    21.88    5.85 600.59729
100_20_2   10 59559.65 3664.03 600.70061
100_5_2    10  3517.13  583.64 600.57572
500_10_2   10 13577.74 1509.74 600.69596
500_2_2    10     7.91    2.14 600.35509
500_20_2   10 47943.11 1597.34 601.23638
500_5_2    10  2042.73    0.00 600.56890
