file runs  obj_mean  obj_sd    t_mean
50_10_2   10 22095.96 1522.38 600.68848
50_2_2    10    14.79    1.10 600.49230
50_20_2   10 54939.17 1560.57 600.39835
50_5_2    10  1807.43  928.26 600.52111
100_10_2   10 17351.70 2924.90 600.53343
100_2_2    10    11.11    2.83 600.42841
100_20_2   10 55220.35 1322.30 600.41511
100_5_2    10  2901.87   90.49 600.47210
500_10_2   10 17999.19  421.86 600.81008
500_2_2    10    12.46    4.64 600.50480
500_20_2   10 54373.45 1120.99 600.96140
500_5_2    10  3010.90  114.62 600.63128
