file runs  obj_mean  obj_sd    t_mean
50_10_2   10 21261.10  539.51 600.63676
50_2_2    10    19.56   11.93 600.52083
50_20_2   10 55862.45 3072.55 600.58084
50_5_2    10  3297.21  394.68 600.35271
100_10_2   10 19422.94 1473.27 600.53037
100_2_2    10     5.61    4.32 600.44700
100_20_2   10 59491.64 3727.31 600.53538
100_5_2    10  2995.73   16.75 600.37494
500_10_2   10 16719.42    0.00 600.43031
500_2_2    10    14.42    4.37 600.54116
500_20_2   10 49428.96  517.11 600.79992
500_5_2    10  2166.34 1199.48 600.34961
