file runs  obj_mean  obj_sd    t_mean
50_10_2   10 20987.76    0.00 600.46432
50_2_2    10    28.91    3.77 600.43048
50_20_2   10 62510.22 3801.46 600.30402
50_5_2    10  5301.83    9.26 600.33864
100_10_2   10 16819.20  625.76 600.27844
100_2_2    10     6.57    5.47 600.41533
100_20_2   10 53002.13 2864.93 600.61254
100_5_2    10  4245.47  184.15 600.52354
500_10_2   10 15563.92    0.00 600.94015
500_2_2    10     9.70    4.13 600.68382
500_20_2   10 57973.37 1240.40 600.47235
500_5_2    10  2820.35  161.72 600.51321
