file    obj     time    gap     valid
100_10_2     15998.000000    599.134665      0       0
100_20_2     55236.500000    585.543255      0       0
100_2_2      19.250000       599.951167      0       0
100_5_2      2447.000000     598.885610      0       0
500_10_2     20071.000000    599.950996      0       0
500_20_2     54547.000000    596.899642      0       0
500_2_2      19.000000       594.549525      0       0
500_5_2      3685.000000     599.487695      0       0
50_10_2      16173.500000    599.584052      0       0
50_20_2      52826.375000    599.975958      0       0
50_2_2       0.875000        599.964958      0       0
50_5_2      926.250000      595.422787      0       0
