file    obj     time    gap     valid
100_10_2     16010.500000    599.940008      0       0
100_20_2     48152.750000    590.615780      0       0
100_2_2      13.750000       587.168171      0       0
100_5_2      2453.750000     599.295888      0       0
500_10_2     21108.000000    599.877189      0       0
500_20_2     49877.000000    595.704768      0       0
500_2_2      13.000000       600.004781      0       0
500_5_2      3526.000000     597.986430      0       0
50_10_2      16173.500000    599.751915      0       0
50_20_2      52826.375000    599.037298      0       0
50_2_2       2.625000        596.861122      0       0
50_5_2       920.125000      599.618028      0       0
