file	obj	time	gap	valid
100_10_10	98002.593750	1200.053802	0	0
100_10_20	140150.015625	1200.486526	0	0
100_10_2	16010.500000	1199.704730	0	0
100_10_5	70806.937500	1199.716499	0	0
100_20_10	152786.781250	1200.265063	0	0
100_20_20	264210.218750	1201.093452	0	0
100_20_2	48152.750000	1199.995699	0	0
100_20_5	114490.000000	1200.044248	0	0
100_2_10	8905.718750	1200.002578	0	0
100_2_20	30048.781250	1200.074536	0	0
100_2_2	13.750000	1199.729915	0	0
100_2_5	1487.375000	1199.996827	0	0
100_5_10	54232.187500	1199.601350	0	0
100_5_20	80231.234375	1200.229939	0	0
100_5_2	2453.750000	1199.989228	0	0
100_5_5	28973.625000	1199.995857	0	0
30_10_10	83809.242188	1200.030492	0	0
30_10_20	118397.859375	1200.144123	0	0
30_10_2	35838.562500	14.585599	0	0
30_10_5	62020.562500	1199.989950	0	0
30_20_10	129921.140625	1200.035840	0	0
30_20_20	148792.718750	1200.293684	0	0
30_20_2	78879.937500	10.060942	0	0
30_20_5	113416.562500	1200.006435	0	0
30_2_10	17732.046875	1199.987432	0	0
30_2_20	62110.281250	315.520688	0	0
30_2_2	10.812500	888.697488	0	0
30_2_5	891.406250	264.136838	0	0
30_5_10	52549.343750	1199.759313	0	0
30_5_20	93842.109375	1199.931465	0	0
30_5_2	2027.562500	48.748538	0	0
30_5_5	21117.609375	325.380846	0	0
40_10_10	101966.000000	1200.046750	0	0
40_10_20	114272.304688	1200.205622	0	0
40_10_2	16516.250000	605.712328	0	0
40_10_5	69933.750000	1200.006395	0	0
40_20_10	144380.156250	1200.075362	0	0
40_20_20	147490.843750	1200.206356	0	0
40_20_2	63771.875000	282.840491	0	0
40_20_5	118120.750000	1200.009175	0	0
40_2_10	9842.781250	1199.996045	0	0
40_2_20	39035.890625	1199.767539	0	0
40_2_2	27.250000	1199.999084	0	0
40_2_5	1972.531250	1199.998297	0	0
40_5_10	55232.828125	1199.983129	0	0
40_5_20	76848.023438	1200.048230	0	0
40_5_2	3599.000000	1199.990821	0	0
40_5_5	27408.875000	1199.993318	0	0
500_10_10	96092.250000	1200.618059	0	0
500_10_20	149033.500000	1202.625296	0	0
500_10_2	21108.000000	1199.999011	0	0
500_10_5	59107.500000	1200.127396	0	0
500_20_10	179790.750000	1201.244159	0	0
500_20_20	307499.437500	1205.791885	0	0
500_20_2	48670.000000	1200.007587	0	0
500_20_5	122525.000000	1200.279648	0	0
500_2_10	6213.500000	1200.111938	0	0
500_2_20	11276.875000	1200.561571	0	0
500_2_2	13.000000	1199.999804	0	0
500_2_5	1040.000000	1200.018354	0	0
500_5_10	46975.250000	1200.299089	0	0
500_5_20	85036.625000	1201.394245	0	0
500_5_2	3526.000000	1200.012200	0	0
500_5_5	18699.000000	1199.855029	0	0
50_10_10	101935.328125	1200.051618	0	0
50_10_20	122983.640625	1200.264709	0	0
50_10_2	16173.500000	1199.785021	0	0
50_10_5	71374.468750	1199.709145	0	0
50_20_10	162703.281250	1199.680828	0	0
50_20_20	167512.796875	1200.561327	0	0
50_20_2	52826.375000	1200.003229	0	0
50_20_5	112340.593750	1200.017015	0	0
50_2_10	9402.843750	1199.774293	0	0
50_2_20	24643.109375	1200.039368	0	0
50_2_2	2.625000	1199.990932	0	0
50_2_5	2191.500000	1199.991086	0	0
50_5_10	60075.203125	1200.016677	0	0
50_5_20	82672.687500	1200.133679	0	0
50_5_2	920.125000	1199.996642	0	0
50_5_5	23762.750000	1199.987919	0	0
