file runs  obj_mean   obj_sd t_mean
100_10_10   10  72894.35  1776.67 1200.0
100_10_2    10  16517.18   824.74 1200.0
100_10_20   10  90860.52  1245.08 1200.0
100_10_5    10  50777.65  1170.59 1200.0
100_2_10    10   2671.70   197.67 1200.0
100_2_2     10     15.56     2.48 1200.0
100_2_20    10   6617.67   482.18 1200.0
100_2_5     10    701.22    75.09 1200.0
100_20_10   10 133769.37  3053.81 1200.0
100_20_2    10  49388.27  2413.36 1200.0
100_20_20   10 143359.51  1857.35 1200.0
100_20_5    10 108209.18  2108.85 1200.0
100_5_10    10  28705.71  1575.11 1200.0
100_5_2     10   2551.43   365.95 1200.0
100_5_20    10  44643.39  1218.04 1200.0
100_5_5     10  16276.82  1339.29 1200.0
30_10_10    10  81598.01  1034.95 1200.0
30_10_2     10  35838.60     0.00 1200.0
30_10_20    10 115493.65     0.00 1200.0
30_10_5     10  61811.31     0.00 1200.0
30_2_10     10  15805.82     0.00 1200.0
30_2_2      10     10.72     0.00 1200.0
30_2_20     10  62110.28     0.00 1200.0
30_2_5      10   1707.72   305.01 1200.0
30_20_10    10 117302.76  1143.06 1200.0
30_20_2     10  78879.97     0.00 1200.0
30_20_20    10 139594.03     0.00 1200.0
30_20_5     10 107621.77   582.54 1200.0
30_5_10     10  50342.03   672.47 1200.0
30_5_2      10   2027.60     0.00 1200.0
30_5_20     10  90730.86     0.00 1200.0
30_5_5      10  24195.07   901.63 1200.0
40_10_10    10  78679.72  1872.40 1200.0
40_10_2     10  16516.28     0.00 1200.0
40_10_20    10  98766.49  1251.61 1200.0
40_10_5     10  55793.10  2136.77 1200.0
40_2_10     10   6564.92   417.20 1200.0
40_2_2      10     20.88     1.82 1200.0
40_2_20     10  35259.24     0.00 1200.0
40_2_5      10   1320.54   151.49 1200.0
40_20_10    10 119246.00  2841.82 1200.0
40_20_2     10  63771.74     0.00 1200.0
40_20_20    10 122617.76  1233.55 1200.0
40_20_5     10 105519.80  2607.80 1200.0
40_5_10     10  42248.89   651.12 1200.0
40_5_2      10   3597.72     2.57 1200.0
40_5_20     10  72514.45   980.90 1200.0
40_5_5      10  21072.63  2403.54 1200.0
50_10_10    10  79475.57  1246.48 1200.0
50_10_2     10  16177.49     4.08 1200.0
50_10_20    10  98893.49  1301.17 1200.0
50_10_5     10  55585.07  2556.57 1200.0
50_2_10     10   5017.22   286.57 1200.0
50_2_2      10      0.71     0.27 1200.0
50_2_20     10  16761.51   714.90 1200.0
50_2_5      10   1107.30   125.47 1200.0
50_20_10    10 125054.37  2400.10 1200.0
50_20_2     10  54600.65  2317.82 1200.0
50_20_20    10 136590.69  1269.76 1200.0
50_20_5     10 109525.54  2507.44 1200.0
50_5_10     10  38134.75   993.40 1200.0
50_5_2      10    925.75     3.04 1200.0
50_5_20     10  63211.58  1604.34 1200.0
50_5_5      10  20255.51   980.54 1200.0
500_10_10   10  64520.34  4922.81 1200.1
500_10_2    10  14410.57  1210.59 1200.0
500_10_20   10  76167.16  4673.91 1200.1
500_10_5    10  37058.50  1577.53 1200.0
500_2_10    10    667.47    68.33 1200.0
500_2_2     10      1.27     0.91 1200.0
500_2_20    10   2221.80   358.92 1200.0
500_2_5     10    215.04    39.28 1200.0
500_20_10   10 149300.44 12729.70 1200.3
500_20_2    10  46986.66  3280.19 1200.0
500_20_20   10 164132.78 15511.83 1201.0
500_20_5    10 119422.22 20127.69 1200.0
500_5_10    10  19910.12  3286.44 1200.0
500_5_2     10      9.61     3.30 1200.0
500_5_20    10  28124.62  2208.56 1200.2
500_5_5     10   8785.36   702.43 1200.0
