file	runs  obj_mean   obj_sd t_mean
100_10_2   10  35671.53  5685.40  600.0
100_2_2    10     38.48     9.73  600.0
100_20_2   10  86973.64  7722.53  600.5
100_5_2    10   6422.44  1579.52  600.0
50_10_2    10  36832.34  4424.36  600.0
50_2_2     10     42.90    25.93  600.0
50_20_2    10  86204.41  6097.09  600.0
50_5_2     10   6763.29  1659.90  600.0
500_10_2   10  40458.64  5517.46  666.3
500_2_2    10     34.35    17.01  611.1
500_20_2   10 132146.10 30679.98  652.5
500_5_2    10   7251.19  1977.17  635.7
