file runs  obj_mean   obj_sd t_mean
100_10_10   10 152067.66 14644.98 1266.8
100_10_2    10  34382.20  5045.24 1200.2
100_10_20   10 187925.22 21357.31 1318.1
100_10_5    10  77004.92  5396.77 1204.6
100_2_10    10  13455.71  3012.47 1212.9
100_2_2     10     36.94    10.92 1200.0
100_2_20    10  35694.15  4178.93 1304.0
100_2_5     10   2053.79   519.92 1201.4
100_20_10   10 226133.65 14771.91 1348.1
100_20_2    10  84616.11  6137.36 1200.5
100_20_20   10 221804.83  9278.56 1858.2
100_20_5    10 162747.33 14515.67 1211.7
100_5_10    10  74177.44  8629.53 1224.0
100_5_2     10   5823.05  1582.81 1200.1
100_5_20    10 118665.32  7018.81 1336.4
100_5_5     10  31329.34  5357.03 1203.1
30_10_10    10  92011.81  3368.92 1200.5
30_10_2     10  45244.26  5103.95 1200.0
30_10_20    10 116086.62  1042.34 1201.7
30_10_5     10  75641.54  4880.90 1200.0
30_2_10     10  19790.05  2111.89 1200.0
30_2_2      10    159.24    69.88 1200.0
30_2_20     10  62110.28     0.00 1200.2
30_2_5      10   3676.29  1263.77 1200.0
30_20_10    10 128600.31  4052.71 1201.4
30_20_2     10  90667.01  8282.62 1200.0
30_20_20    10 140570.05  1598.99 1205.1
30_20_5     10 122439.77  5638.37 1200.0
30_5_10     10  57508.52  1355.39 1200.0
30_5_2      10  10804.77  2474.00 1200.0
30_5_20     10  91323.87  1327.93 1200.2
30_5_5      10  34943.87  4627.18 1200.0
40_10_10    10  94058.30  4156.97 1202.0
40_10_2     10  40828.70  8216.35 1200.0
40_10_20    10 115560.53  2989.54 1220.8
40_10_5     10  76511.22  4704.97 1200.1
40_2_10     10  11694.97  3342.16 1200.1
40_2_2      10    554.51   672.38 1200.0
40_2_20     10  39408.58  2242.51 1204.2
40_2_5      10   2612.27  1198.21 1200.0
40_20_10    10 141364.36  6462.01 1206.2
40_20_2     10  94777.94 14875.44 1200.0
40_20_20    10 144425.83  5522.74 1244.4
40_20_5     10 130384.60  4829.05 1200.1
40_5_10     10  55155.60  3845.85 1201.0
40_5_2      10  15768.21 10659.03 1200.0
40_5_20     10  83567.09  3120.64 1207.0
40_5_5      10  33326.66  4840.80 1200.0
50_10_10    10 107938.91  7051.30 1202.7
50_10_2     10  35920.13  4120.75 1200.0
50_10_20    10 129968.53  4395.84 1236.9
50_10_5     10  75752.92  5602.58 1200.3
50_2_10     10  10365.30  2540.07 1201.5
50_2_2      10     35.25    22.07 1200.0
50_2_20     10  28111.45  5201.26 1207.6
50_2_5      10   1938.09   507.39 1200.0
50_20_10    10 161395.15  5194.83 1211.8
50_20_2     10  86204.41  6097.09 1200.0
50_20_20    10 163517.91  5447.49 1278.7
50_20_5     10 135005.25  5662.43 1201.0
50_5_10     10  57872.79  4970.63 1203.4
50_5_2      10   6413.60  1226.91 1200.0
50_5_20     10  91533.43  5946.74 1220.6
50_5_5      10  32138.35  2760.18 1200.0
500_10_10   10  65092.77  2548.02 1200.0
500_10_2    10  30902.95  7790.94 1200.0
500_10_20   10 134954.82 13851.49 1200.0
500_10_5    10  55096.82  5773.39 1200.0
500_2_10    10   1453.33   512.91 1200.0
500_2_2     10    408.64   132.16 1200.0
500_2_20    10   4086.10   650.73 1200.0
500_2_5     10    737.51   164.25 1200.0
500_20_10   10 160782.09 14634.02 1200.0
500_20_2    10  79836.53  6077.27 1200.0
500_20_20   10 269214.93 13258.20 1200.4
500_20_5    10 116287.90  6633.68 1200.0
500_5_10    10  21587.28  2440.37 1200.0
500_5_2     10   9870.98  2966.33 1200.0
500_5_20    10  46962.78  3470.78 1200.0
500_5_5     10  16420.60  1957.25 1200.0
