         runs obj_mean  obj_sd    t_mean
100_10_3   10 28523.88 2273.14 1800.4018
100_10_4   10 33450.13 2139.66 1800.2870
100_15_3   10 54162.51 1891.10 1800.5594
100_15_4   10 65026.44 2993.54 1800.5629
100_2_3    10    38.20    8.93 1800.4724
100_2_4    10    51.84   17.17 1800.5876
100_20_3   10 75659.66 3447.45 1800.7554
100_20_4   10 85404.72 3619.73 1800.4741
100_3_3    10   683.28  172.98 1800.5513
100_3_4    10   779.76  228.66 1800.6282
100_4_3    10  2257.03  515.04 1800.4575
100_4_4    10  3023.79  466.91 1800.5554
100_5_3    10  4487.51  907.63 1800.5578
100_5_4    10  6514.77 1405.41 1800.4720
50_10_3    10 29282.76 3055.15 1800.4102
50_10_4    10 45498.90 3287.42 1800.4394
50_15_3    10 58045.49 3914.59 1800.4979
50_15_4    10 75205.67 3926.68 1800.4062
50_2_3     10    29.19   19.75 1800.5421
50_2_4     10   132.65   27.47 1800.5834
50_20_3    10 81333.47 3719.01 1800.3877
50_20_4    10 97517.29 3371.60 1800.3574
50_3_3     10   491.00  159.85 1800.4749
50_3_4     10  1634.93  371.96 1800.3167
50_4_3     10  2178.63  470.59 1800.6008
50_4_4     10  5307.93  372.35 1800.5361
50_5_3     10  5014.52  516.62 1800.4621
50_5_4     10 11268.64 1677.16 1800.5229
