         runs  obj_mean  obj_sd t_mean
100_10_3   10  35359.90 3436.55 1800.0
100_10_4   10  46749.32 2286.62 1800.0
100_15_3   10  62107.78 2854.09 1800.0
100_15_4   10  75576.72 2524.15 1800.0
100_2_3    10    190.77   34.99 1800.0
100_2_4    10    547.56   94.85 1800.0
100_20_3   10  86589.38 3304.50 1800.0
100_20_4   10 102386.13 2443.04 1800.1
100_3_3    10   1494.37  407.45 1800.0
100_3_4    10   3444.96  339.75 1800.0
100_4_3    10   4647.92  555.69 1800.0
100_4_4    10   8442.45  816.04 1800.0
100_5_3    10   9827.11  825.87 1800.0
100_5_4    10  14749.11  909.21 1800.0
50_10_3    10  36657.52 2488.68 1800.0
50_10_4    10  50622.45 2678.13 1800.0
50_15_3    10  66759.58 1984.60 1800.0
50_15_4    10  80065.49 4412.46 1800.0
50_2_3     10    199.94   55.82 1800.0
50_2_4     10    736.05  124.23 1800.0
50_20_3    10  86273.71 3952.98 1800.0
50_20_4    10 103821.02 3076.99 1800.0
50_3_3     10   1461.97  527.65 1800.0
50_3_4     10   3651.33  408.33 1800.0
50_4_3     10   5315.19  510.27 1800.0
50_4_4     10  10202.38 1099.67 1800.0
50_5_3     10  10066.19  880.08 1800.0
50_5_4     10  16746.16 2003.52 1800.0
