file	runs  obj_mean  obj_sd t_mean
100_10_3   10  41304.08 3443.04 1815.2
100_10_4   10  55965.44 2998.73 1928.8
100_15_3   10  69674.96 3246.92 1811.8
100_15_4   10  85095.32 4914.27 1908.8
100_2_3    10    134.92   26.81 1809.5
100_2_4    10    545.64  109.41 1852.4
100_20_3   10  91248.08 2698.09 1821.8
100_20_4   10 111563.15 4049.74 1944.0
100_3_3    10   1727.35  459.70 1809.6
100_3_4    10   4096.42  572.83 1880.3
100_4_3    10   5220.42  818.35 1807.4
100_4_4    10  10400.96 1031.59 1870.6
100_5_3    10  11654.32 1646.34 1811.4
100_5_4    10  16714.95 2605.18 1852.8
50_10_3    10  44297.50 4692.47 1801.5
50_10_4    10  57326.62 3905.77 1813.8
50_15_3    10  73299.99 3167.98 1803.1
50_15_4    10  87108.10 2786.09 1811.3
50_2_3     10    177.15   66.26 1800.3
50_2_4     10    849.66  175.46 1805.9
50_20_3    10  95596.65 3411.57 1801.9
50_20_4    10 107167.42 3638.81 1817.2
50_3_3     10   1768.05  423.73 1800.4
50_3_4     10   4887.44  587.46 1807.6
50_4_3     10   5393.63 1135.86 1801.0
50_4_4     10  11214.58 1834.65 1806.9
50_5_3     10  11155.83 1828.43 1801.2
50_5_4     10  21044.33 2289.37 1806.8
