         runs  obj_mean   obj_sd    t_mean
100_10_2   11  33376.75  3898.47 1800.1818
100_10_3   11  51090.40  5259.07 1801.9091
100_10_4   11  66231.60  5025.17 1804.0909
100_15_2   11  64009.85  3377.71 1800.6364
100_15_3   11  79221.95  7762.91 1801.7273
100_15_4   11 103800.87  6794.71 1806.9091
100_2_2    11     26.70     3.09 1800.0000
100_2_3    11    238.03    67.33 1800.0000
100_2_4    11    846.01   280.33 1800.3636
100_20_2   11  86787.80 10552.88 1800.9091
100_20_3   11 114447.31  7863.76 1804.5455
100_20_4   11 142733.26  9337.17 1808.2727
100_3_2    11    348.08   191.57 1800.0000
100_3_3    11   2272.16   818.74 1800.2727
100_3_4    11   5881.80  1678.78 1800.7273
100_4_2    11   1967.33   588.01 1800.0000
100_4_3    11   7470.79  1449.78 1800.2727
100_4_4    11  13108.57  2337.23 1801.0000
100_5_2    11   5275.76  1121.91 1800.0000
100_5_3    11  14823.66  2382.21 1800.5455
100_5_4    11  21997.19  2959.73 1802.1818
50_10_2    11  34479.78  5849.47 1800.0000
50_10_3    11  51807.04  4609.36 1800.0000
50_10_4    11  66250.24  5168.19 1800.1818
50_15_2    11  63597.27  5797.62 1800.0000
50_15_3    11  86839.15  4072.34 1800.0000
50_15_4    11  99553.20  6579.14 1800.0000
50_2_2     11     31.63    23.39 1800.0000
50_2_3     11    240.47    92.96 1800.0000
50_2_4     11   1105.34   263.02 1800.0000
50_20_2    11  84853.26  5627.21 1800.0000
50_20_3    11 115010.07  5504.10 1800.0000
50_20_4    11 124495.05  4259.99 1800.3636
50_3_2     11    656.68   227.70 1800.0000
50_3_3     11   2714.92   433.91 1800.0000
50_3_4     11   6779.04  1596.25 1800.0000
50_4_2     11   3398.90  1032.24 1800.0000
50_4_3     11   8733.95  1548.36 1800.0000
50_4_4     11  15221.60  2204.14 1800.0000
50_5_2     11   6492.33  1588.02 1800.0000
50_5_3     11  15612.29  2586.14 1800.0000
50_5_4     11  26505.25  3515.38 1800.0000

